,A,B,C,G,R,X6,X8
475,5,1027.44,819.73,50.02,2662,42.4869,0.2884
476,7,1127.22,999.67,50.02,2367,55.7668,0.2839
477,5,1134.42,999.67,50.02,1355,65.3875,0.1763
478,8,1139.62,1059.65,50.44,709,86.1777,0.3291
479,9,1133.79,1059.65,49.6,920,81.1957,0.3308
480,9,1145.87,1069.64,49.6,1042,81.286,0.3273
481,7,1140.87,1029.66,50.02,897,69.7882,0.2922
482,7,1139.62,1029.66,50.02,1128,80.1418,0.2925
483,8,1147.12,1059.65,49.2,909,81.6282,0.2906
484,6,1176.13,1089.64,48.4,613,75.367,0.3327
485,5,1182.11,1079.64,48.4,960,69.4792,0.3525
486,6,1134.21,909.7,48.4,2384,69.2953,0.147
487,9,1121.23,909.7,48.4,3444,49.7967,0.2854
488,7,1149.2,1019.66,47.26,2091,66.3319,0.3263
489,6,1173.96,1079.64,47.26,1370,90.8029,0.2593
490,6,1162.53,1079.64,49.2,1314,87.5951,0.2151
491,5,1166.28,1079.64,48.02,1504,87.8324,0.2858
492,5,1121.63,959.68,49.2,1426,81.6269,0.1783
493,6,1037.43,849.72,50.44,8012,35.5467,0.2499
494,8,1094.04,849.72,45.82,5559,48.7318,0.2194
495,7,1183.52,999.67,45.82,2317,86.9659,0.2939
496,7,1140.04,869.71,47.26,4597,74.2658,0.1462
497,6,1181.35,979.67,46.89,2172,68.3702,0.184
498,7,1163.96,1069.64,46.89,2137,76.7899,0.2615
499,8,1133.22,1009.66,48.8,1871,76.2159,0.2824
500,7,1123.63,999.67,49.2,2013,94.1878,0.2848
501,7,1122.13,999.67,50.86,1297,86.6615,0.2971
502,9,1133.22,1039.65,50.86,1576,86.4848,0.2824
503,10,1126.42,899.7,49.2,3800,70.5263,0.2131
504,9,1105.23,859.71,48.8,6528,41.9424,0.2533
505,6,1110.83,859.71,48.8,6365,48.1068,0.2521
506,6,1177.87,949.68,48.02,876,87.8995,0.2215
507,8,1124.62,469.84,47.63,15536,77.6004,0.2964
508,7,1086.56,469.84,47.63,13070,84.6442,0.2832
509,7,1126.42,949.68,48.4,2718,89.404,0.2486
510,7,1086.04,949.68,46.89,4109,85.3979,0.1473
511,5,1072.72,949.68,46.89,3376,93.8389,0.2868
512,8,1115.88,1019.66,50.02,1391,92.8109,0.2987
513,7,1148.78,1059.65,48.4,856,80.3738,0.3264
514,6,1162.95,1059.65,48.4,1367,91.0753,0.3225
515,5,1145.45,1039.65,49.2,1420,92.1831,0.29100000000000004
516,6,1159.2,1069.64,48.02,1287,83.68299999999999,0.2876
517,7,1177.87,1069.64,48.02,1552,69.1366,0.2584
518,8,1177.52,999.67,48.02,2412,72.3466,0.2831
519,7,1118.79,889.7,48.4,4390,30.5923,0.149
520,9,1073.24,339.89,48.8,18363,65.5884,0.2609
521,9,1120.03,1029.66,50.02,1327,67.5207,0.2857
